station,user,start
10113,796122087,18
10113,796205396,67
10119,431148902,108
10119,624505581,59
10119,633639691,8
10119,654586833,2
10119,654689643,38
10119,674573130,13
10119,703614905,313
10119,703616469,227
10119,766877859,14
10119,796028566,1682
10119,796607023,31
10119,796639083,27
10119,796664686,21
10119,796676973,678
10119,796748855,106
10122,504820089,527
10122,528141888,574
10122,603627770,39
10122,624512255,64
10122,634510909,9
10122,694625402,74
10122,763423115,192
10122,796772732,1378
10129,431165703,150
10129,485160931,11
10129,503682748,58
10129,613657781,3
10129,613661447,1
10129,613671054,143
10129,644570548,15
10129,644617814,5
10129,654658620,139
10129,674659966,1
10129,684512466,83
10129,684513482,57
10129,684603726,549
10129,684604197,26
10129,704512098,131
10129,735976268,141
10129,766827545,42
10129,766860236,34
10129,766897334,170
10129,796031840,7
10129,796121397,15
10129,796659239,6
10138,796694785,13
10139,634809521,3
10148,504518338,41
10148,613655045,62
10148,614519524,77
10148,633622797,119
10148,633631487,41
10148,634501807,4
10148,644619328,107
10148,654566006,80
10148,674689527,60
10148,704517639,46
10148,766892148,439
10148,766893432,88
10148,796640252,1
10148,796669460,34
10149,489658944,27
10155,431168467,76
10155,566738686,3
10155,613647088,64
10155,644602220,56
10155,654502023,29
10155,654614189,318
10155,674639276,2
10155,674643410,20
10155,704809121,6
10155,766827665,19
10155,796061908,219
10155,796572370,76
10155,796634905,53
10159,472357903,16
10159,654686128,5
10159,796094540,90
10159,796604888,48
10160,503611499,126
10160,604815133,51
10168,603677529,148
10168,654536080,21
10168,766952228,66
10168,766962041,168
10168,796727255,32
10169,514534237,62
10169,603639378,45
10169,614515041,29
10169,654551502,4
10169,654556660,1056
10169,674630182,173
10169,703606429,24
10169,703630699,150
10169,704811313,111
10169,796039481,6
10176,503604247,12
10176,503614536,7
10176,603676062,771
10176,633692442,131
10176,634620047,58
10176,664503988,26
10176,684576689,104
10176,684665547,23
10176,763440937,165
10176,796143681,127
10176,796205244,181
10176,796771156,8
10180,634507578,561
10180,634514854,47
10182,604802313,124
10182,613628172,67
10182,694510704,25
10184,604813342,226
10184,613623976,2
10184,694503014,104
10186,503657448,78
10186,504516953,499
10186,763407343,474
10190,564518581,57
10190,603634425,772
10190,766928748,142
10190,796006788,8
10197,796727844,5
10205,603681459,117
10205,654566241,127
10205,664516368,34
10205,766861802,227
