station,user,start
1010,674678682,59
1010,684502861,35
1010,689737434,4415
1010,703603917,166
1010,703604074,287
1010,703607790,65
1010,703609373,9129
1010,703610743,37
1010,703611723,96
1010,703612241,850
1010,703616769,306
1010,703616770,12
1010,703618718,41
1010,703618971,751
1010,703622274,50
1010,703623217,1
1010,703626449,194
1010,703630618,67
1010,703631734,553
1010,703632841,391
1010,703632898,2
1010,703633824,9
1010,703643907,18
1010,714871769,88
1010,723608308,3
1010,736976143,1837
1010,763567323,305
1010,763571500,9
1010,766806798,1190
1010,766808232,212
1010,766828712,182
1010,766830396,2
1010,766857181,17
1010,766869045,1
1010,766981693,1071
1010,789692446,207
1010,796055255,750
1010,796079295,102
1010,796559752,70
1010,796610300,3
1010,796623478,737
1010,796632631,6
1010,796637991,3
1010,796640534,5
1010,796670465,48
1010,796684414,48
1010,796997374,1180
1014,406477900,26
1014,410964324,2
1014,503609181,433
1014,603677706,29
1014,603682949,37
1014,613656866,4
1014,654553289,144
1014,654614703,2550
1014,694510482,8
1014,703614839,193
1014,704502190,162
1014,704814989,11
1014,766104110,2
1014,766873541,36
1014,796093848,1335
1014,796602079,204
1018,426054144,12
1018,654685468,493
1018,694556823,303
1018,796081405,969
1018,796612979,24
1022,455248598,9
1022,503688819,45
1022,514651877,587
1022,555056214,195
1022,559327555,391
1022,603648214,2
1022,604531150,41
1022,604804157,848
1022,613618285,53
1022,613659156,40
1022,624603117,23
1022,633626878,49
1022,644604434,92
1022,644610225,5
1022,654502833,4
1022,654526242,366
1022,654551697,4
1022,654557356,532
1022,654567783,1
1022,654568180,1
1022,664614145,18
1022,674615733,24
1022,674622790,4
1022,674630943,3
1022,674640187,2
1022,674684678,148
1022,684501228,1895
1022,684629921,45
1022,684637455,24
1022,703634600,2
1022,704503595,50
1022,704505020,76
1022,704507374,98
1022,704567734,97
1022,704816756,36
1022,704845744,84
1022,766806936,103
1022,766830897,163
1022,766856676,107
1022,766858478,44
1022,766868857,10
1022,766900270,43
1022,766967741,132
1022,796021679,7
1022,796026878,1
1022,796038563,2574
1022,796062830,6
1022,796067119,14
1022,796078873,42
1022,796147974,20
1022,796166807,67
1022,796180339,36
1022,796617197,28
1022,796620493,275
1022,796625354,184
1022,796632005,11
1022,796637805,1224
1022,796664114,193
1022,796669200,32
1022,796712623,10
1022,796779523,1
1023,465444072,2
1023,503605774,59
1023,503606722,81
1023,503613301,34
1023,503614441,9
1023,503620746,166
1023,503623313,79
1023,503634008,569
1023,504805710,1358
1023,504848487,52
1023,603627083,1127
1023,603663146,1
1023,604849609,87
1023,614503334,118
1023,633680149,6
1023,633692479,105
1023,634508096,6
1023,644506850,299
1023,644512342,1
1023,654572107,23
1023,654602991,157
1023,654678920,41
1023,658553400,1484
1023,674651746,10
1023,674660298,8
1023,674694645,24
1023,684501772,4
1023,684502670,3075
1023,684504589,31
1023,684559019,783
1023,684579476,3
1023,684580072,35
1023,684617450,144
1023,693559085,7
1023,693561568,29
1023,703610321,3
1023,703614633,1
1023,703618354,8
1023,703639359,904
1023,703678522,850
1023,704504435,19
1023,704842749,313
1023,704842925,2
1023,704887339,217
1023,717827689,1
1023,763415605,861
1023,763416125,24
1023,763734201,5274
1023,764675828,106
1023,766917299,1
1023,766929096,753
1023,766936258,28
1023,766965626,138
1023,768234222,707
1023,795466732,13
1023,796074045,14
1023,796123622,12
1023,796143227,382
1023,796156418,15
1023,796156511,44
1023,796156979,16
1023,796171675,126
1023,796205355,92
1023,796205895,6
1023,796607675,26
1023,796730637,51
1023,796756418,473
1023,796756541,20
1023,796805678,78
1023,796832243,173
1023,796833430,6
1023,796834879,25
1025,613649717,3
1025,644587257,769
1025,654611750,49
1025,796028627,30
1025,796638497,2508
1027,514538981,23
1027,603650994,38
1027,603676138,64
1027,634969358,13
1027,654673466,965
1027,694657114,2625
1027,796836403,2519
1027,796840467,2334
1031,430863974,18
1031,431544006,11
1031,503671168,22
1031,503671810,20
1031,503672264,41
1031,503675151,11
1031,504515487,10
1031,521359270,4
1031,522387703,8
1031,535466175,107
1031,578874250,652
1031,603603574,9
1031,603605910,36
1031,603607224,11
1031,603669930,6
1031,604843033,46
1031,613646873,39
1031,614506531,230
1031,633655659,371
1031,633657404,52
1031,633657421,423
1031,633657657,4
1031,633658299,623
1031,633659945,147
1031,633660544,386
1031,633691953,340
1031,633698690,8
1031,633699009,341
1031,634521013,1
1031,634618341,1
1031,634814867,29
1031,634887368,2412
1031,644586379,638
1031,654513640,2236
1031,654591331,55
1031,654594692,2
1031,654630266,64
1031,664243921,16
1031,674658215,15
1031,674687477,26
1031,684612491,238
1031,684657353,352
1031,684662790,458
1031,694350965,35
1031,694503987,2
1031,694505520,162
1031,694513876,429
1031,694552047,151
1031,694553367,45
1031,694554060,1503
1031,694554940,150
1031,694555017,36
1031,694556661,1
1031,694557158,1
1031,694557632,1
1031,694559662,120
1031,694623403,68
1031,703658046,2777
1031,703676790,11
1031,703677086,22
1031,716228330,3
1031,763403540,4
1031,763419884,10
1031,766833524,90
1031,766841027,147
1031,766906128,16
1031,766906618,526
1031,766906628,21
1031,766932181,357
1031,766941485,87
1031,796101250,54
1031,796103883,2
1031,796104206,45
1031,796147863,5
1031,796181117,4
1031,796193777,2
1031,796198909,121
1031,796230309,179
1031,796332538,2
1031,796703323,44
1031,796731831,389
1031,796747123,45
1031,796747447,51
1031,796779013,4
1031,796783148,38
1031,796831146,352
